"claim_id","record_id","record_slug","label","value","evidence_level","assessment","source_ids","source_metric_term","source_metric_value","source_metric_unit","target_metric","normalization_qualification","normalized_result","metric_interpretation"
"HU-R010-C01","HU-R010","apollo-mercedes-berlin","Project and site","Apollo training at the Mercedes-Benz Digital Factory Campus in Berlin-Marienfelde","operator","Mercedes-Benz identifies the robot, operator and production-development site. This establishes a real production environment, not routine autonomous production or reliability performance.","mercedes-apollo-berlin-2025","","","","","","",""
"HU-R010-C02","HU-R010","apollo-mercedes-berlin","Intended tasks","Component transport, line delivery and initial component quality checks","operator","Mercedes-Benz and Apptronik describe closely related intralogistics and inspection use cases. Neither source publishes completed-task counts, attempts, throughput, error criteria or production output.","mercedes-apollo-berlin-2025 | apptronik-mercedes-agreement-2024","","","","","","",""
"HU-R010-C03","HU-R010","apollo-mercedes-berlin","Production-environment data","Apollo robots collected data in a production environment for specific MO360 use cases","operator","The operator confirms physical data collection in the factory-development environment. It gives no operating-hour total, observation window, robot count, task denominator or indication that the collected time was uninterrupted.","mercedes-apollo-berlin-2025","","","","","","",""
"HU-R010-C04","HU-R010","apollo-mercedes-berlin","Human teaching mode","Mercedes-Benz employees transferred production knowledge through teleoperation and augmented reality","operator","Teleoperation is explicitly part of task teaching. The source does not quantify teleoperated time, supervision, interventions during autonomous execution or how often a person had to recover the robot.","mercedes-apollo-berlin-2025","","","","","","",""
"HU-R010-C05","HU-R010","apollo-mercedes-berlin","Autonomy stage","Mercedes-Benz says the robots are learning to act autonomously at the campus","operator","This is evidence of an autonomy-development stage, not proof of unsupervised production work. No autonomous-time share, task-success rate or transition date is disclosed.","mercedes-apollo-berlin-2025","","","","","","",""
"HU-R010-C06","HU-R010","apollo-mercedes-berlin","Later data-collection update","Apptronik names Mercedes-Benz among customer sites using data-collection workflows with teleoperation and autonomous execution","manufacturer","The update describes a broader Apollo 2 data-collection network and does not isolate the Mercedes site, task, robot count, operating time or share of each operating mode. HumanoidUptime does not apply the Apollo 2 configuration retroactively to the earlier Mercedes activity.","apptronik-robot-park-2026","","","","","","",""
"HU-R010-C07","HU-R010","apollo-mercedes-berlin","Commercial framework","Apptronik announced a commercial agreement to explore Apollo manufacturing applications in March 2024","manufacturer","The agreement dates the public program and planned use cases. It does not disclose a purchase quantity, completed deployment, paid production service or reliability result.","apptronik-mercedes-agreement-2024","","","","","","",""
"HU-R011-C01","HU-R011","atlas-prototype-hmgma","Completed site pilot","Pilot testing completed at Hyundai Motor Group Metaplant America in October 2025","operator","Hyundai identifies the prototype, site and completion month. The word successfully is a qualitative operator assessment without a published acceptance criterion, duration, unit count or result table.","hyundai-atlas-hmgma-poc-2026","","","","","","",""
"HU-R011-C02","HU-R011","atlas-prototype-hmgma","Pilot task","Pick automotive parts and align them in another rack for parts sequencing","operator","The operator and manufacturer identify parts sequencing as the 2025 application. Neither publishes attempts, completed sequences, cycle time, rejected placements, retries or assisted cycles.","hyundai-atlas-hmgma-poc-2026 | boston-dynamics-atlas-evolution-2026","","","","","","",""
"HU-R011-C03","HU-R011","atlas-prototype-hmgma","Autonomy statement","Hyundai describes the prototype performing autonomous actions in work environments","operator","The source does not publish the HMGMA pilot's autonomous-time share, supervision protocol, remote support, intervention boundary or task-success denominator. It is not evidence of unattended production operation.","hyundai-atlas-hmgma-poc-2026","","","","","","",""
"HU-R011-C04","HU-R011","atlas-prototype-hmgma","Development method","Reinforcement learning and teleoperated demonstrations were used during 2025 development","manufacturer","Boston Dynamics describes the wider development process, not the operating mode or number of human assists during the HMGMA pilot.","boston-dynamics-atlas-evolution-2026","","","","","","",""
"HU-R011-C05","HU-R011","atlas-prototype-hmgma","Configuration boundary","The October 2025 HMGMA pilot used the Atlas prototype, not the product model unveiled in January 2026","operator","Capabilities and specifications published for the later product model, including its autonomous battery exchange, are not applied retroactively to the tested prototype.","hyundai-atlas-hmgma-poc-2026 | boston-dynamics-atlas-product-2026","","","","","","",""
"HU-R011-C06","HU-R011","atlas-prototype-hmgma","2026 fleet plan","Product-version Atlas fleets were scheduled to ship to Hyundai's RMAC during 2026","manufacturer","A scheduled shipment is not evidence that units arrived, entered production or reproduced the 2025 pilot result. No fleet quantity is published.","boston-dynamics-atlas-product-2026","","","","","","",""
"HU-R011-C07","HU-R011","atlas-prototype-hmgma","Production roadmap","Hyundai plans parts-sequencing deployment at HMGMA from 2028 and assembly applications from 2030","operator","The dated roadmap concerns future product-version deployment. It is kept separate from the completed 2025 prototype pilot and supplies no current reliability result.","hyundai-atlas-roadmap-2026","","","","","","",""
"HU-R012-C01","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","Completed proof of concept","Schaeffler confirms a completed PoC with Humanoid's pre-alpha robot","operator","Schaeffler's Q3 materials confirm completion and the pre-alpha boundary. Humanoid supplies the detailed site and workflow. Neither source publishes the test dates, duration, unit count or acceptance criteria.","schaeffler-q3-humanoid-2025 | humanoid-schaeffler-poc-2025","","","","","","",""
"HU-R012-C02","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","Site and setting","Near-production test at Schaeffler's Erlangen site","manufacturer","The manufacturer identifies Erlangen and calls the setup near-production. The later production-environment phase was still a next step, so this record does not describe the PoC as live production.","humanoid-schaeffler-poc-2025","","","","","","",""
"HU-R012-C03","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","Task workflow","Pick metallic bearing rings from cluttered bins, place them on a buffer table and move between stations","manufacturer","The workflow is defined, including parallel grippers and a static picking station. No ring count, attempts, completed cycles, rejects, retries, cycle time or throughput is reported for this PoC.","humanoid-schaeffler-poc-2025","","","","","","",""
"HU-R012-C04","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","PoC outcome","Reported as successful and as fully meeting established expectations","operator","Schaeffler calls the PoC successful and Humanoid says expectations were met. The expectations, test protocol, sample and pass/fail thresholds are not published, so no task-success or reliability rate can be calculated.","schaeffler-q3-humanoid-2025 | humanoid-schaeffler-poc-2025","","","","","","",""
"HU-R012-C05","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","Training method","Physical lab twin and leader-arm teleoperation used to collect training data for VLA fine-tuning","manufacturer","Teleoperation is explicitly part of model training. The source does not state whether test executions at Schaeffler were autonomous, supervised, teleoperated or mixed, or quantify human support.","humanoid-schaeffler-poc-2025","","","","","","",""
"HU-R012-C06","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","Recovery capability","Autonomous real-time regrasp correction described as a capability","manufacturer","The source describes autonomous correction as an advantage of the approach but publishes no regrasp attempts, recovery success rate or unrecovered-event count from the PoC.","humanoid-schaeffler-poc-2025","","","","","","",""
"HU-R012-C07","HU-R012","humanoid-pre-alpha-schaeffler-erlangen","Successor deployment roadmap","Later agreement schedules Alpha/Beta systems for German production environments from late 2026","manufacturer","The later roadmap covers new robot stages, sites and tasks, not the tested pre-alpha configuration. Planned December 2026 through June 2027 phases and a four-digit 2032 target are not treated as completed deployments or current reliability evidence.","humanoid-schaeffler-deployment-2026","","","","","","",""
"HU-R013-C01","HU-R013","walker-s2-rossmann-burgwedel","Delivered pilot unit","ROSSMANN received one Walker S2 in Burgwedel on 17 March 2026","operator","The operator names the model, location, delivery date and one received unit. Receipt establishes a real pilot asset, not operating time or successful task execution.","rossmann-walker-s2-pilot-2026","","","","","","",""
"HU-R013-C02","HU-R013","walker-s2-rossmann-burgwedel","Pilot window","Multi-phase test planned across the full 2026 calendar year","operator","The calendar plan covers use-case definition, gradual practical integration and a possible expansion assessment. It is not a runtime figure and does not show that the robot was scheduled or operating continuously throughout 2026.","rossmann-walker-s2-pilot-2026","pilot window","full 2026 calendar year","planned calendar time","technical_availability","different_metric","","A year-long project plan describes the integration program, including phases without robot operation. It cannot be used as runtime or scheduled operating time."
"HU-R013-C03","HU-R013","walker-s2-rossmann-burgwedel","Operator objective","Test integration into existing logistics processes and support for repetitive, physically unergonomic work","operator","ROSSMANN describes the questions the pilot is intended to answer, including IT integration, programming speed, employee experience and practical value. It does not publish a completed task or outcome at this stage.","rossmann-walker-s2-pilot-2026","","","","","","",""
"HU-R013-C04","HU-R013","walker-s2-rossmann-burgwedel","Reported task activity","Material handling and sorting in warehouse environments","manufacturer","UBTECH later attributes material handling and sorting to Walker S2 in the project. ROSSMANN's reviewed statement does not yet confirm those task results, and no attempts, completed moves, cycle time, throughput or error count is disclosed.","ubtech-rossmann-2026","","","","","","",""
"HU-R013-C05","HU-R013","walker-s2-rossmann-burgwedel","Qualitative outcome","UBTECH says the work demonstrated product stability and viability","manufacturer","The manufacturer supplies no definition, baseline, observation period, sample or measured stability result. The claim is not converted into availability, task success or a reliability score.","ubtech-rossmann-2026","","","","","","",""
"HU-R013-C06","HU-R013","walker-s2-rossmann-burgwedel","Wider purchase boundary","Terra Robotics reportedly purchased several dozen full-size UBTECH humanoids for industrial deployments","manufacturer","The broader distributor batch is not allocated by model, customer or site. HumanoidUptime therefore counts only the single Walker S2 that ROSSMANN confirms receiving and does not infer a larger ROSSMANN fleet.","ubtech-rossmann-2026","","","","","","",""
"HU-R013-C07","HU-R013","walker-s2-rossmann-burgwedel","Battery-swap capability","The robot is described as able to change its own battery","claim","This is a product capability statement in the operator release. No battery-swap attempt, success rate, swap duration, energy duty cycle or evidence of uninterrupted logistics work is reported for Burgwedel.","rossmann-walker-s2-pilot-2026","","","","","","",""
