"deployment_id","record_slug","manufacturer","model","operator","location","task","stage","stage_label","first_evidence_at","evidence_level","evidence_label","summary","reliability_disclosure","source_title","source_publisher","source_published_at","source_accessed_at","source_url","source_metadata_fingerprint"
"atlas-prototype-hmgma-2025","atlas-prototype-hmgma","Boston Dynamics","Atlas prototype","Hyundai Motor Group","Hyundai Motor Group Metaplant America, Georgia, USA","Pick automotive parts and align them in another rack for parts sequencing","pilot","Completed prototype pilot","2026-01-07","operator","Operator corroborated","Hyundai confirms that the Atlas prototype completed an October 2025 pilot at HMGMA on a defined parts-sequencing workflow.","The site and task are known; duration, fleet, output, autonomy share, interventions, failures, recovery and availability are not published.","Hyundai Motor Group brings AI Robotics to life at CES 2026","Hyundai Motor Group","2026-01-07","2026-09-04","https://org.hyundai.com/worldwide/en/brand-journal/mobility-solution/ces-2026-robotics-exhibition","ac944f96fd58a1f067ab19f033feedf6e236a184776fe2d6b73ece3a3685ef04"
"atlas-hmgma-2028","","Boston Dynamics","Atlas","Hyundai Motor Group","HMGMA, Georgia, USA","Parts sequencing, later expanding toward assembly","planned","Scheduled for 2028","2026-01-05","operator","Operator announced","Hyundai plans to deploy product-version Atlas robots at HMGMA for sequencing tasks from 2028, separately from the completed 2025 prototype pilot.","This is a dated roadmap, not an operating deployment or reliability result.","Hyundai Motor Group announces AI Robotics strategy at CES 2026","Hyundai Motor Group","2026-01-05","2026-09-04","https://www.hyundai.com/content/hyundai/worldwide/en/newsroom/detail/hyundai-motor-group-announces-ai-robotics-strategy-to-lead-human-centered-robotics-era-at-ces-2026-0000001100.html","ed036fcc7ae72241810e68b863aabd708aa8e23b89590bf312e0baa41fdc2f0d"
"figure-catalyst-reno","","Figure AI","Figure humanoid","Catalyst Brands","Reno, Nevada, USA","Physically demanding distribution and supply-chain tasks","field","Commercial integration claimed","2026-05-26","manufacturer","Manufacturer reported","Figure announced a commercial agreement and said integration was beginning at Catalyst Brands' Reno distribution logistics center; no operator-authored milestone or result is public.","The robot model, on-site start, fleet, task definition, runtime, output and reliability results are not published.","Figure signs agreement with Catalyst Brands to scale humanoid operations","Figure AI","2026-05-26","2026-09-04","https://www.figure.ai/news/figure-signs-agreement-with-catalyst-brands","ab4c5d5f566da4ff144c0abf33ee06e8d23163cc48c319fac38ca6069b7608f8"
"optimus-tesla-internal","","Tesla","Optimus","Tesla","Tesla factory; site not disclosed","Factory tasks not specified in the filing","pilot","Internal factory test","2024-06-13","manufacturer","Company filing","Tesla stated in 2024 proxy materials that two Optimus robots had been deployed performing factory tasks autonomously.","The filing provides no task definition, observation period, output, human-intervention or reliability figures.","2024 annual meeting communication","Tesla Investor Relations","2024-06-13","2026-09-04","https://ir.tesla.com/_flysystem/s3/sec/000110465924070473/tm2413800d25_defa14a-gen.pdf","a531f10e8d2eb3c79310f8d0df89a523de410506cd5eaed67dd3933865d6d889"
"4ne1-schaeffler-roadmap","","NEURA Robotics","4NE1","Schaeffler","Global Schaeffler production network","Production tasks to be developed from application data","planned","Purchase agreement / deployment roadmap","2025-11-04","operator","Operator announced","Schaeffler reports a purchase agreement for two NEURA humanoids; its broader partnership targets a mid-four-digit integration by 2035, but no receipt or use is confirmed.","Two purchased units are reported, but delivery, site acceptance, tasks, runtime and operating performance are not disclosed.","Humanoids at Schaeffler","Schaeffler","2026-02-05","2026-09-04","https://www.schaeffler.com/remotemedien/media/_shared_media_rwd/08_investor_relations/presentations/20260205_humanoids_at_schaeffler.pdf","8538f0e3e367b165852cfa9faa1818cd1ce3874dcef3913bb7ab79d63578a3a9"
"walker-s-nio","","UBTECH Robotics","Walker S","NIO","NIO advanced manufacturing base F2; city not disclosed","Vehicle assembly and quality inspection","pilot","Production-line trial","","manufacturer","Manufacturer reported","UBTECH describes Walker S at the final-assembly workstation of NIO's advanced manufacturing base F2 for assembly and quality-inspection work.","No operator statement, dates, unit count, task attempts, runtime, output, autonomy share or intervention data was found.","Humanoid Robot Industrial Application Solution — NIO","UBTECH Robotics","","2026-09-04","https://www.ubtrobot.com/en/humanoid/solutions/industry","5f26c6d5a18f057f9eb691282f9b59e612489a18bf0ac2526417e9ccd25080d6"
"walker-s1-byd","","UBTECH Robotics","Walker S1","BYD","BYD automotive factory; site not disclosed","Sorting and vehicle-assembly training","pilot","Factory training","2025-04-30","manufacturer","Company annual report","UBTECH's 2024 annual report says Walker S1 completed first-stage BYD factory training and reports doubled efficiency and 30% higher stability without defining either measure.","The report does not define the efficiency or stability baseline, measurement method, sample, duration, failures, interventions or operator validation.","UBTECH Robotics 2024 Annual Report","UBTECH Robotics / HKEX","2025-04-30","2026-09-04","https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043002530.pdf","b39e9e25bd1f9dba2ccf47117b6f49deb3152aef1a57cbc1b2295412873f18e5"
"walker-s1-geely","","UBTECH Robotics","Walker S1","Geely / Zeekr / Lynk & Co","Ningbo and Chengdu, China","Charging-plug testing and material handling","pilot","Multi-stage factory training","2025-04-30","manufacturer","Company annual report","UBTECH reports Walker S1 completing a second stage at Zeekr Ningbo and a third-stage program at Lynk & Co for charging-plug and handling training.","No operator confirmation, stage dates, unit count, hours, task results, failure counts or intervention data is disclosed; another UBTECH page describes a Walker S Lite three-week Zeekr test without reconciling the configuration.","UBTECH Robotics 2024 Annual Report","UBTECH Robotics / HKEX","2025-04-30","2026-09-04","https://www1.hkexnews.hk/listedco/listconews/sehk/2025/0430/2025043002530.pdf","b39e9e25bd1f9dba2ccf47117b6f49deb3152aef1a57cbc1b2295412873f18e5"
"walker-s1-foxconn","","UBTECH Robotics","Walker S1","Foxconn","Foxconn facility; site not disclosed","Material handling in logistics areas","pilot","Logistics training","2024-01-01","manufacturer","Company annual report","UBTECH reports completion of a first logistics carrying stage and describes wider-area, multi-robot testing only as the next stage.","No Foxconn confirmation, site, unit count, duration, task attempts or reliability data is disclosed.","UBTECH Robotics 2024 Annual Report","UBTECH Robotics","2025-04-30","2026-09-04","https://owebsite-cdn.ubtrobot.com/resources/file/2025/05/06/673306119077957.pdf","7e4ae427ad5c26c806c744c9d940126701e1ff6bc0f878b34d82d02a822824cc"
"walker-s2-hitachi-elevator","","UBTECH Robotics","Walker S2","Hitachi","Hitachi Elevator manufacturing floor, China","Elevator-manufacturing application validation","pilot","On-site validation","2026-07-13","manufacturer","Joint partnership report","UBTECH says Walker S2 entered a Hitachi Elevator manufacturing floor for on-site testing and application validation; no completed task or outcome is reported.","No operator-authored result, exact site, unit count, test duration, task output, failures or interventions is published.","UBTECH and Hitachi enter into strategic partnership","UBTECH Robotics","2026-07-13","2026-09-04","https://www.ubtrobot.com/en/about/news/826577556529221","2010e6b516c567a239f09c449d05448b79588831de56fb7777840ea50965e2f5"
"hmnd-01-siemens-erlangen","hmnd-01-siemens-erlangen","Humanoid","HMND 01 Alpha","Siemens","Siemens electronics factory, Erlangen, Germany","Autonomous tote destacking, transport and conveyor placement","pilot","Completed factory POC","2026-01-15","operator","Operator corroborated","A two-week on-site POC reported 60 tote moves per hour, more than eight uptime hours and above-90% autonomous pick-and-place success.","Duration and task results are quantified, but scheduled time, downtime, interventions, failure events, MTBF and MTTR are not published.","Siemens and Humanoid bring Physical AI to the factory floor","Siemens","2026-04-16","2026-09-04","https://press.siemens.com/global/en/pressrelease/siemens-and-humanoid-bring-physical-ai-factory-floor-deploying-humanoids-industrial","a8710df28ee5949d53867edaa3d40ea8e25751eb57c692e454271ab03a4cd4dc"
"sanctuary-canadian-tire-langley","sanctuary-canadian-tire","Sanctuary AI","Unnamed Sanctuary GPR","Canadian Tire / Mark's","Mark's store, Langley, British Columbia, Canada","Picking, packing, cleaning, tagging, labelling, folding and other retail tasks","pilot","Completed retail pilot","2023-03-07","manufacturer","Manufacturer reported","Sanctuary reports a one-week commercial-site pilot in January 2023 with 110 retail-related tasks completed correctly.","No runtime, attempt count, task-success denominator, autonomy share, interventions, failures or recovery data is published.","Sanctuary AI Deploys First Humanoid General-Purpose Robot Commercially","Sanctuary AI","2023-03-07","2026-09-04","https://sanctuary.ai/news/sanctuary-ai-deploys-first-humanoid-general-purpose-robot-commercially/","0d49dd6aa1ad2db4e9c80b48bd8319117015aac5651a16f7aa937471f9b55467"
"digit-schaeffler-cheraw","digit-schaeffler-cheraw","Agility Robotics","Digit","Schaeffler","Schaeffler plant, Cheraw, South Carolina, USA","Transport baskets of bearing components through an industrial washing workflow","field","Active factory use","2026-03-16","operator","Operator corroborated","Schaeffler says Digit began loading and unloading a washing-machine workflow in early 2025; its CEO still described the robot handling heavy components at Cheraw in April 2026.","A calendar span and daily work pattern are public; cumulative runtime, availability, interventions, failures, recovery and fleet total are not.","Welcome aboard Robo","Schaeffler","","2026-09-04","https://schaeffler-tomorrow.de/en/article/welcome-aboard-robo","4d44feed832037ee90d45aba7282a417a6241064d594be6e1d7c6137d89c5a80"
"aeon-bmw-leipzig","aeon-bmw-leipzig","Hexagon Robotics","AEON","BMW Group","BMW Group Plant Leipzig, Germany","Battery assembly, component production and material delivery","pilot","Active factory pilot","2026-02-27","operator","Operator corroborated","BMW confirms staged factory testing and a Leipzig pilot; Hexagon later reports that AEON began production tasks on 12 June 2026 while training continued.","No runtime, scheduled time, task count, availability, intervention, failure, recovery or fleet-size result is public.","BMW Group to deploy humanoid robots in production in Germany for the first time","BMW Group","2026-02-27","2026-09-04","https://www.press.bmwgroup.com/global/article/detail/T0455864EN/bmw-group-to-deploy-humanoid-robots-in-production-in-germany-for-the-first-time","8b9cadf211cbd4c5f112143246a423a7411495ba9b68d22ad00aae0cc3e7b6a0"
"xpeng-iron-factory-training","","XPENG","IRON (pre-next-generation version)","XPENG","XPENG factory setting; site not disclosed","Factory training; site and task not disclosed","pilot","Internal factory training reported","2025-09-08","manufacturer","Same-party company report","XPENG said its then-current IRON was undergoing factory training in September 2025; it unveiled a next-generation model two months later and did not publish a result from the earlier training.","No factory, task, unit count, observation period, output, autonomy share, intervention, failure or recovery result is published.","Leading the Future of AI Mobility: XPENG Showcases Its Latest Technology Breakthroughs at IAA Mobility 2025","XPENG","2025-09-08","2026-09-04","https://www.xpeng.com/pressroom/news/01992787505898ee96718a028110008c","e327009ecf8d502d4c54f2e63fe9efed162b12c73f8013387e20c304c7c1178f"
"digit-mercado-libre-san-antonio","","Agility Robotics","Digit","Mercado Libre","Mercado Libre facility, San Antonio, Texas, USA","Commerce-fulfillment tasks not yet defined","planned","Commercial deployment announced","2025-12-10","manufacturer","Joint announcement","A joint announcement identifies Mercado Libre's San Antonio facility and fulfillment scope, but describes intended integration and testing without an operating start or result.","No unit count, operating start, task definition, runtime, output, autonomy share, interventions, failures or recovery data is published.","Mercado Libre and Agility Robotics Announce Commercial Agreement to Deploy Humanoid Robots","Agility Robotics","2025-12-10","2026-09-04","https://www.agilityrobotics.com/content/mercado-libre-and-agility-robotics-announce-commercial-agreement","9d8ee0786f7580b478e7595f22ad189fb6729c00c6d5c59681751bcf4a97bc42"
"humanoid-pre-alpha-schaeffler-erlangen","humanoid-pre-alpha-schaeffler-erlangen","Humanoid","Humanoid pre-alpha robot","Schaeffler","Schaeffler site, Erlangen, Germany","Pick metallic bearing rings from cluttered bins and transfer them to a buffer table","pilot","Completed near-production PoC","2025-10-29","operator","Operator corroborated","Schaeffler corroborates a completed PoC with Humanoid's pre-alpha robot; Humanoid identifies a near-production ring-picking workflow at Erlangen.","The site, task and training method are known; duration, output, test-mode autonomy, interventions, failures, recovery and availability are not published.","Q3 2025 Schaeffler AG earnings","Schaeffler","2025-11-04","2026-09-04","https://www.schaeffler.com/remotemedien/media/_shared_media_rwd/08_investor_relations/presentations/2025_q3_schaeffler_conference_call_presentation_18wswp.pdf","1679adbeee5be33f7ca12d7c86afb280819dee2ebcbb844432f1ac9a9ee40fa8"
"persona-hd-hyundai-welding","","Persona AI","Persona AI humanoid; prototype configuration not yet disclosed","HD Korea Shipbuilding & Offshore Engineering","Planned HDKSOE shipyard environment; site not disclosed","Develop a humanoid system for precision shipyard welding","planned","Development MOU","2025-05-08","operator","Operator roadmap","HD Hyundai describes a joint development program targeting prototype completion in 2026 and on-site demonstrations from 2027; no completed prototype or shipyard test is confirmed.","No completed prototype, site test, weld sample, operating period, autonomy, intervention or reliability result is public.","HD Hyundai to Drive Shipbuilding Automation Innovation with Humanoid Welders","HD Hyundai","2025-05-08","2026-09-04","https://esg.hd.com/en/news/944","502548f22ab70276fd15ab66818dcf3bcd04782c3e251f18e265268bf7ecd624"
"apollo-2-robot-park-deepmind","","Apptronik","Apollo 2, bipedal and wheeled configurations","Apptronik / research partners","Apptronik Robot Park, Austin, Texas, USA; additional sites not disclosed","Collect training data across logistics, manufacturing and retail scenarios","research","Research data collection","2026-06-30","manufacturer","Manufacturer and research-partner reports","Apptronik reports Apollo 2 fleets collecting data at its Austin Robot Park and partner sites through mixed teleoperation and autonomous execution; Google DeepMind separately publishes configuration-specific lab task results.","No fleet count, operating hours, data volume, autonomous-time share, intervention, failure or recovery rate is public; lab task rates do not describe Robot Park uptime.","Welcome to Robot Park: Where Apptronik's Apollo Goes to Work","Apptronik","2026-06-30","2026-09-04","https://apptronik.com/news-collection/welcome-to-robot-park-where-apptroniks-apollo-goes-to-work","ab43e89f6896e3ff3eff23c0edd9840c97cff12949e10b97a834cdf23cf124ac"
"walker-s2-rossmann-logistics","walker-s2-rossmann-burgwedel","UBTECH Robotics","Walker S2","ROSSMANN","ROSSMANN logistics, Burgwedel, Germany","Pilot integration into logistics, with material handling and sorting later reported by UBTECH","pilot","Active year-long logistics pilot","2026-03-26","operator","Operator corroborated","ROSSMANN confirms receipt of one Walker S2 on 17 March for a multi-phase pilot spanning 2026; UBTECH later reports material-handling and sorting activity without quantitative results.","One delivered unit and the planned 2026 pilot window are known; operating hours, task counts, autonomy share, interventions, failures, recovery and availability are not published.","ROSSMANN tests first humanoid robot in Burgwedel logistics","ROSSMANN","2026-03-26","2026-09-04","https://unternehmen.rossmann.de/presse/pressemeldung/rossmann-testet-ersten-humanoiden-roboter.html","6b061b3ecdaa4938c3d658f11645a0466bce84de460263a9c58d4d76a7e3a833"
