"record_id","record_slug","source_id","title","publisher","source_type","published_at","accessed_at","url","relevant_location","archive_reference","archive_access","captured_at","captured_media_type","captured_byte_length","content_fingerprint","content_fingerprint_algorithm","source_metadata_fingerprint"
"HU-R003","walker-s2-continuous-operation","ubtech-overview","Business Overview","UBTECH Robotics","Manufacturer corporate report","2025-09-16","2026-09-04","https://owebsite-cdn.ubtrobot.com/resources/file/2025/09/16/720367161532485.pdf","","","","","","","","","0903873468012a252828986ce104943848758a4bf34068bd97905a315061d8af"
"HU-R004","figure-03-bmw","bmw-figure03","BMW Group advances the use of Physical AI in production with Figure 03 project in Spartanburg","BMW Group","Operator statement","2026-06-25","2026-09-04","https://www.press.bmwgroup.com/global/article/detail/T0458778EN/bmw-group-advances-the-use-of-physical-ai-in-production-with-figure-03-project-in-spartanburg?showMedia=photo","","","","","","","","","6e5d031842ab769c37605512b55be7087f04d686e944205f90486170c91228a0"
"HU-R004","figure-03-bmw","figure-figure03","F.03 Arrives at BMW","Figure AI","Manufacturer statement","2026-06-30","2026-09-04","https://www.figure.ai/news/f-03-at-bmw","","","","","","","","","6c8ccc69b0c33bb02bc958a93c69d7aab994856b9fed1e90f25e6d0f86cda4dc"
"HU-R005","unitree-g1-fraunhofer-ipa","ipa-safety-guide-2025","Leitfaden: Funktionale Sicherheit humanoider Roboter","Fraunhofer IPA","Independent research institute","2025-10-25","2026-09-04","https://www.ipa.fraunhofer.de/content/dam/ipa/Leitfaden_Safety_final.pdf","PDF page 9, ‘4. Sicherheitsrisiken: Kollisionen mit dem laufenden Roboter’.","HU-SA-R005-001","internal_evidence_only","2026-09-04T14:10:51Z","application/pdf","2148565","11ad99c755c1735e8a12c66fe5654440899e8108ec575e8b810dcdfce08dedb3","sha256","d9c2fdcb5dd4dd5cafe6c0ddd0907688aca3966f14a1edee4a47f655d18c25db"
"HU-R005","unitree-g1-fraunhofer-ipa","ipa-safety-2026","Humanoide Roboter – Status quo, Potenziale und Forschungstätigkeiten (Teil 3 von 3)","Fraunhofer IPA","Independent research institute","2026-02-12","2026-09-04","https://interaktiv.ipa.fraunhofer.de/embodied-ai/humanoide-roboter_statusquo-potenziale-forschungsfelder_teil3/","Section ‘Sicherheit’, opening two paragraphs on collision testing and measured force.","HU-SA-R005-002","internal_evidence_only","2026-09-04T14:10:52Z","text/html; charset=UTF-8","258765","159d49ae2c354ac19ac36ee1ad3377e328ab26e8e3c5aa0ea3cd24cb81372045","sha256","adc1e2a0e86790345b1a7e92ec68e92f0922cedcd3409c7ec4e80dbad6bbc36c"
"HU-R005","unitree-g1-fraunhofer-ipa","ipa-benchmark-press","Fraunhofer IPA develops standardized analyses for application-relevant criteria of humanoid robots","Fraunhofer IPA","Independent research institute","2026-05-27","2026-09-04","https://www.ipa.fraunhofer.de/en/press-media/press_releases/benchmark-for-humanoid-robots.html","‘What is the benchmark?’ section, six-category list and following Unitree G1 configuration and result paragraphs.","HU-SA-R005-003","internal_evidence_only","2026-09-04T14:10:52Z","text/html;charset=utf-8","41319","4f546b280b72d5e87ed7a62eafa0e0257b47cf522ab005cd05eeaff744f985bd","sha256","dc24e6667738bc62e69064661051d6cc4801c55897076f1f6d270e6c0b615516"
"HU-R005","unitree-g1-fraunhofer-ipa","ipa-benchmark-detail","Humanoide Roboter: Standardisierte Analysen für anwendungsrelevante Kriterien","Fraunhofer IPA","Independent research institute","2026-06-03","2026-09-04","https://interaktiv.ipa.fraunhofer.de/embodied-ai/fraunhofer-ipa-entwickelt-standardisierte-analysen-fuer-anwendungsrelevante-kriterien-humanoider-roboter/","Sections 1 ‘Technologien und Basisfähigkeiten’, 2 ‘Komplexe Fähigkeiten’, 4 ‘Funktionale Sicherheit’, 5 ‘Cybersicherheit’ and 6 ‘Energieeffizienz’.","HU-SA-R005-004","internal_evidence_only","2026-09-04T14:10:58Z","text/html; charset=UTF-8","262354","2f5acfe1de0f96cd25a9de8fb0cb8cced3cbc979091d9e37170792d89562872a","sha256","a94e90e0610b89ed71035ffcd7da5fa514043ab981fbc2439f6d93039832f7bb"
"HU-R006","hmnd-01-siemens-erlangen","humanoid-siemens-poc-2026","Humanoid and Siemens Completed a Proof of Concept to Test Humanoid Robots in Industrial Logistics","Humanoid","Manufacturer statement","2026-01-15","2026-09-04","https://thehumanoid.ai/humanoid-and-siemens-completed-a-proof-of-concept-to-test-humanoidrobots-in-industrial-logistics/","","","","","","","","","819cec4b41dc914d734d5b7bbed2af3f317b7b8b97d4634d64962d1aed3b49f9"
"HU-R006","hmnd-01-siemens-erlangen","siemens-humanoid-2026","Siemens and Humanoid bring Physical AI to the factory floor","Siemens","Operator statement","2026-04-16","2026-09-04","https://press.siemens.com/global/en/pressrelease/siemens-and-humanoid-bring-physical-ai-factory-floor-deploying-humanoids-industrial","","","","","","","","","51ee4104c1ab85318f1f181c2d3877209e3f681438105d7883dccb2474f86629"
"HU-R006","hmnd-01-siemens-erlangen","nvidia-siemens-case-study","Siemens accelerates product development and innovation with industrial AI","NVIDIA","Technology partner case study","","2026-09-04","https://www.nvidia.com/en-gb/case-studies/siemens-accelerates-product-development-and-innovation-with-industrial-ai/","","","","","","","","","b8161af011249427c214ecf84ffdc5144e6fa81eeb30a2f4661f8328c5d91d6c"
"HU-R007","sanctuary-canadian-tire","sanctuary-ctc-deployment-2023","Sanctuary AI Deploys First Humanoid General-Purpose Robot Commercially","Sanctuary AI","Manufacturer statement","2023-03-07","2026-09-04","https://sanctuary.ai/news/sanctuary-ai-deploys-first-humanoid-general-purpose-robot-commercially/","","","","","","","","","b20dd4511debbc941484a0f41b5ac168008926a580bee1f21f2dc78075f528eb"
"HU-R007","sanctuary-canadian-tire","ctc-sanctuary-portfolio","Roller Labs Ventures portfolio: Sanctuary","Canadian Tire Corporation","Operator investment relationship","","2026-09-04","https://corp.canadiantire.ca/English/rollerlabsventures/Our-Portfolio/Sanctuary/","","","","","","","","","8f66f2d1487c44b5b9d4b907aa9cd0d62c6ae5b7821fbbb6c099560372a95e70"
"HU-R007","sanctuary-canadian-tire","sanctuary-teleoperation-2024","AI Robotics and the Case for Teleoperation","Sanctuary AI","Manufacturer methodology","2024-01-24","2026-09-04","https://sanctuary.ai/news/ai-robotics-and-the-case-for-teleoperation/","","","","","","","","","69a2500a5e9ddc9a04f79b20446abeb3dd16371a31e275990fa9acb6ba39dce3"
"HU-R007","sanctuary-canadian-tire","sanctuary-phoenix-retrospective","A Retrospective Look: Phoenix and Carbon Unveiling","Sanctuary AI","Manufacturer product chronology","2023-08-10","2026-09-04","https://sanctuary.ai/news/a-retrospective-look-phoenix-and-carbon-unveiling/","","","","","","","","","7eb13692f1c02cec9a7aa41ce7ce4b97bb29ba646759b27374b577e0c4269393"
"HU-R008","digit-schaeffler-cheraw","agility-schaeffler-agreement-2024","Agility Robotics announces strategic investment and agreement with Schaeffler Group","Agility Robotics","Manufacturer announcement","2024-11-13","2026-09-04","https://www.agilityrobotics.com/content/agility-robotics-announces-strategic-investment-and-agreement-with-motion-technology-company-schaeffler-group","","","","","","","","","b4a926b5e3d0dfa39b46dbaa290045112bb26b87d7b080440db4160ca67281af"
"HU-R008","digit-schaeffler-cheraw","schaeffler-tomorrow-digit","Welcome aboard Robo","Schaeffler","Operator publication","","2026-09-04","https://schaeffler-tomorrow.de/en/article/welcome-aboard-robo","","","","","","","","","f20d43767edda87e0d6842c6a7af88239b1b6a42d6686a704e114ba9aec6eec1"
"HU-R008","digit-schaeffler-cheraw","wsj-digit-schaeffler-2026","Humanoid Robots Step Into New Factory Roles","The Wall Street Journal","Independent factory reporting","2026-03-16","2026-09-04","https://d2dr22b2lm4tvw.cloudfront.net/wsj/2026-03-16/front-page.pdf","","","","","","","","","3605aac87f10acc45cf3f1596f23a03fbc660c0b2b58443293cd75d844e2f5bc"
"HU-R008","digit-schaeffler-cheraw","schaeffler-agm-digit-2026","Report of the Chief Executive Officer at the 2026 Annual General Meeting","Schaeffler","Operator executive report","2026-04-23","2026-09-04","https://www.schaeffler.com/remotemedien/media/_shared_media_rwd/08_investor_relations/annual_general_meetings/2026_agm/2026_schaeffler_agm_report_klaus_rosenfeld_en.pdf","","","","","","","","","6aa381d38e4fd7f590e5b9d882f5fd42c21cc1e2b7a785e7a47c44be87c3e122"
"HU-R009","aeon-bmw-leipzig","bmw-aeon-press-2026","BMW Group to deploy humanoid robots in production in Germany for the first time","BMW Group","Operator statement","2026-02-27","2026-09-04","https://www.press.bmwgroup.com/global/article/detail/T0455864EN/bmw-group-to-deploy-humanoid-robots-in-production-in-germany-for-the-first-time","","","","","","","","","b779c8d5d8a66c2aed6d0eb225f2d21d3cbe295e4030fcf6f91b7a622ca66706"
"HU-R009","aeon-bmw-leipzig","bmw-aeon-feature-2026","First humanoid robot introduced in Plant Leipzig","BMW Group","Operator feature","2026-03-09","2026-09-04","https://www.bmwgroup.com/en/news/general/2026/humanoid-robot-in-leipzig.html","","","","","","","","","1546b486f6cfba28fdb8a1d1fcbf59c2bf3472e29ea9bd6700a4ab2bdcd4e4f3"
"HU-R009","aeon-bmw-leipzig","hexagon-aeon-bmw-milestone-2026","New milestone with BMW Group: industrial humanoid deployment","Hexagon Robotics","Manufacturer statement","2026-06-15","2026-09-04","https://robotics.hexagon.com/new-milestone-with-bmw-group-industrial-humanoid-deployment/","","","","","","","","","94bbd5683809a7fc6e0a641995034cc420943fb62bd58b4145726e8464bc422a"
"HU-R009","aeon-bmw-leipzig","hexagon-aeon-product","AEON product overview and specifications","Hexagon Robotics","Manufacturer product page","","2026-09-04","https://robotics.hexagon.com/product/","","","","","","","","","cc080bcbb4a7ec473b10dfec458220c5654ce0cce3b904e4ed46571029523b61"
"HU-R010","apollo-mercedes-berlin","apptronik-mercedes-agreement-2024","Apptronik and Mercedes-Benz enter commercial agreement","Apptronik","Manufacturer statement","2024-03-15","2026-09-04","https://apptronik.com/news-collection/apptronik-and-mercedes-benz-enter-commercial-agreement?_bhlid=8245ad561302e835048adab5d90101ee99733e77","","","","","","","","","92c40401d8b3314cbbd0a815b5fe26de4d2b13a7b73dfbd54535b2d3946904c2"
"HU-R010","apollo-mercedes-berlin","mercedes-apollo-berlin-2025","AI and humanoid robots at the Digital Factory Campus","Mercedes-Benz Group","Operator statement","2025-03-18","2026-09-04","https://group.mercedes-benz.com/unternehmen/produktion/produktionsnetzwerk/mbdfc-humanoide-roboter.html","","","","","","","","","29261a937b15d336119373930458c0c1fc9d059e09e38c823ba73862b16ccdab"
"HU-R010","apollo-mercedes-berlin","apptronik-robot-park-2026","Welcome to Robot Park, where Apptronik's Apollo goes to work","Apptronik","Manufacturer statement","2026-06-30","2026-09-04","https://apptronik.com/news-collection/welcome-to-robot-park-where-apptroniks-apollo-goes-to-work","","","","","","","","","d428c12a306e64a9d968f3c62361c7385fd38a578126e606d534432639b00677"
"HU-R011","atlas-prototype-hmgma","hyundai-atlas-roadmap-2026","Hyundai Motor Group Announces AI Robotics Strategy to Lead Human-Centered Robotics Era at CES 2026","Hyundai Motor Group","Operator statement","2026-01-05","2026-09-04","https://www.hyundai.com/content/hyundai/worldwide/en/newsroom/detail/hyundai-motor-group-announces-ai-robotics-strategy-to-lead-human-centered-robotics-era-at-ces-2026-0000001100.html","","","","","","","","","20cc28ca84a4901254d31068be59e9afaf4683e5a051541e479f901f13595a08"
"HU-R011","atlas-prototype-hmgma","boston-dynamics-atlas-product-2026","Boston Dynamics Unveils New Atlas Robot to Revolutionize Industry","Boston Dynamics","Manufacturer statement","2026-01-05","2026-09-04","https://bostondynamics.com/blog/boston-dynamics-unveils-new-atlas-robot-to-revolutionize-industry/","","","","","","","","","05ed1fffa4519e2debedfb25fd04e760b7b633926ce90e777204db9f22b1d0d2"
"HU-R011","atlas-prototype-hmgma","hyundai-atlas-hmgma-poc-2026","Hyundai Motor Group brings AI Robotics to life at CES 2026","Hyundai Motor Group","Operator statement","2026-01-07","2026-09-04","https://org.hyundai.com/worldwide/en/brand-journal/mobility-solution/ces-2026-robotics-exhibition","","","","","","","","","ce363fe755891a2d3d1210f46176c038bed50e31658df60b9cada4cfbc586515"
"HU-R011","atlas-prototype-hmgma","boston-dynamics-atlas-evolution-2026","Atlas' Evolution From Research Robot to Industrial Humanoid","Boston Dynamics","Manufacturer statement","2026-03-17","2026-09-04","https://bostondynamics.com/blog/atlas-evolution-from-research-robot-to-industrial-humanoid/","","","","","","","","","3b7d9b8fbbbc4f1494a345a2e2a0d64a93d909961c5b6938f59596877887e9c6"
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","humanoid-schaeffler-poc-2025","Humanoid and Schaeffler Successfully Completed Proof of Concept for Bin Picking with Pre-Alpha Robot","Humanoid","Manufacturer statement","2025-10-29","2026-09-04","https://thehumanoid.ai/humanoid-and-schaeffler-successfully-completed-proof-of-concept-for-bin-picking-with-pre-alpha-robot/","","","","","","","","","b8d7e7a51d3f65402af28e69e3f0e94ca543db914e8026c9f00460a12703d729"
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","schaeffler-q3-humanoid-2025","Q3 2025 Schaeffler AG earnings","Schaeffler","Operator investor presentation","2025-11-04","2026-09-04","https://www.schaeffler.com/remotemedien/media/_shared_media_rwd/08_investor_relations/presentations/2025_q3_schaeffler_conference_call_presentation_18wswp.pdf","","","","","","","","","2a105d3c50d24e0c533c3be4f803141befef0eaa3dce63c6346cf14ecd5badf9"
"HU-R012","humanoid-pre-alpha-schaeffler-erlangen","humanoid-schaeffler-deployment-2026","Humanoid Secures Landmark Deal with Schaeffler to Deploy Thousands of Humanoid Robots","Humanoid","Manufacturer deployment roadmap","2026-05-13","2026-09-04","https://thehumanoid.ai/humanoid-secures-landmark-deal-with-schaeffler-to-deploy-thousands-of-humanoid-robots/","","","","","","","","","fa2aa301a4e61f048a4f67c4c5454c500aea8e61caf2ee64e56df20992671396"
"HU-R013","walker-s2-rossmann-burgwedel","rossmann-walker-s2-pilot-2026","ROSSMANN tests first humanoid robot in Burgwedel logistics","ROSSMANN","Operator statement","2026-03-26","2026-09-04","https://unternehmen.rossmann.de/presse/pressemeldung/rossmann-testet-ersten-humanoiden-roboter.html","","","","","","","","","d6c28a0f368449aa7023fe3021229b007bde5d710d77a66ba1cf38bb7ac16f22"
"HU-R013","walker-s2-rossmann-burgwedel","ubtech-rossmann-2026","UBTECH partners to bring humanoid robots to European retail logistics environments","UBTECH Robotics","Manufacturer statement","2026-07-13","2026-09-04","https://www.ubtrobot.com/en/about/news/826574022332485","","","","","","","","","4bfcc3c60166a1665b790aa884b89f0d90176987de3fd7bf2e4690f8f53a52f1"
